r,m,recurrence_found,recurrence_order,recurrence_degree,recurrence_sparsity,tail_growth_ratio,symmetric,oeis,reference_name,reference_terms_match,reference_recurrence_match,baseline_candidates,guided_candidates,candidate_reduction_pct,baseline_systems,guided_systems,baseline_equations,guided_equations,baseline_time_s,guided_time_s,time_reduction_pct,baseline_found,guided_found,guided_poles,predicted_poles
1,0,True,1,0,1.0,2.0,True,A000079,powers of 2,True,True,13,2,84.61538461538461,3,1,30,10,0.06151083299846505,0.02237783300006413,63.61968793265643,True,True,k - n - 1,-k + n + 1
2,0,True,1,1,1.0,3.9130434782608696,True,A000984,central binomial coefficients,True,False,16,2,87.5,16,2,489,47,1.6767704160010908,0.1392759170012141,91.69379924215436,False,False,,-k + n + 1
3,0,True,2,2,1.0,7.657240297661829,True,A000172,Franel numbers (r=3),True,False,31,4,87.09677419354838,31,4,2847,391,20.16510041699803,3.005097792000015,85.09753123040791,False,False,,-k + n + 1|-k + n + 2
4,0,True,2,3,1.0,14.984671439142144,True,A005260,Franel numbers (r=4),True,,35,4,88.57142857142857,35,4,4948,572,55.38853808299973,6.6258490000000165,88.03750878914482,False,False,,-k + n + 1|-k + n + 2
