template,r,m,recurrence_found,recurrence_order,recurrence_degree,recurrence_sparsity,tail_growth_ratio,symmetric,oeis,reference_name,reference_terms_match,reference_recurrence_match,baseline_candidates,guided_candidates,candidate_reduction_pct,baseline_systems,guided_systems,baseline_equations,guided_equations,baseline_time_s,guided_time_s,time_reduction_pct,baseline_found,guided_found,baseline_verified,guided_verified,guided_poles,predicted_poles
apery-like,1,0,True,2,2,1.0,10.514974119960835,False,A000079,powers of 2,False,False,71,8,88.73239436619718,71,8,5355,441,34.24189666699749,2.2659406250022585,93.38254931659151,False,False,False,False,,-k + n + 1|-k + n + 2
apery-like,2,0,True,2,3,1.0,31.362619738237896,False,A000984,central binomial coefficients,False,False,78,8,89.74358974358975,78,8,6734,557,57.95505849999972,4.035534042002837,93.0367872167658,False,False,False,False,,-k + n + 1|-k + n + 2
apery-like,3,0,True,4,3,1.0,100.27426840911892,False,A000172,Franel numbers (r=3),False,False,199,10,94.9748743718593,,,,,,,,,,,,,-k + n + 1|-k + n + 2|-k + n + 3|-k + n + 4
